,Approach,No. of Requests,Successs Rate,Profit per Request
0,Lowest Cost First,2000,0.894796,861.3
1,Lowest Cost First,4000,0.851417,861.7
2,Lowest Cost First,6000,0.879583,894.46
3,Lowest Cost First,8000,0.870998,909.45
4,Lowest Cost First,10000,0.918497,938.27
5,Lowest Cost First,12000,0.882463,928.93
6,Lowest Cost First,14000,0.878435,901.72
7,Lowest Cost First,16000,0.882142,920.54
8,Lowest Cost First,18000,0.860573,890.4
9,Lowest Cost First,20000,0.864886,893.39
10,Max Available Service Capacity First,2000,0.936684,903.0
11,Max Available Service Capacity First,4000,0.934006,939.44
12,Max Available Service Capacity First,6000,0.952121,957.09
13,Max Available Service Capacity First,8000,0.954795,952.67
14,Max Available Service Capacity First,10000,0.949675,977.33
15,Max Available Service Capacity First,12000,0.949069,987.31
16,Max Available Service Capacity First,14000,0.942989,975.2
17,Max Available Service Capacity First,16000,0.91983,949.98
18,Max Available Service Capacity First,18000,0.912449,947.45
19,Max Available Service Capacity First,20000,0.941511,974.44
20,First Fit,2000,0.978162,907.79
21,First Fit,4000,0.921385,923.47
22,First Fit,6000,0.917586,944.98
23,First Fit,8000,0.934654,946.38
24,First Fit,10000,0.936385,953.82
25,First Fit,12000,0.938985,966.61
26,First Fit,14000,0.939099,957.97
27,First Fit,16000,0.922366,953.49
28,First Fit,18000,0.940549,966.24
29,First Fit,20000,0.929731,966.09
30,Random,2000,0.951883,897.08
31,Random,4000,0.955691,959.79
32,Random,6000,0.949053,952.82
33,Random,8000,0.963573,975.24
34,Random,10000,0.94869,969.84
35,Random,12000,0.965578,985.28
36,Random,14000,0.950513,972.82
37,Random,16000,0.96176,985.91
38,Random,18000,0.936759,966.07
39,Random,20000,0.959137,989.79
40,Max Reliability First,2000,0.998948,960.56
41,Max Reliability First,4000,0.998259,962.92
42,Max Reliability First,6000,0.998214,986.4
43,Max Reliability First,8000,0.997155,992.85
44,Max Reliability First,10000,0.998051,1000.66
45,Max Reliability First,12000,0.997369,1009.64
46,Max Reliability First,14000,0.997694,1010.45
47,Max Reliability First,16000,0.997046,1006.49
48,Max Reliability First,18000,0.997926,1012.12
49,Max Reliability First,20000,0.997579,1008.39
